CPU 1 is empty
cpus=2
           <...>-33790 [000] 20143.614195: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [000] 20143.614796: funcgraph_entry:        0.489 us   |                        cgroup_cpu_stat_updated();
            bash-16796 [000] 20143.614797: funcgraph_exit:         1.897 us   |                      }
            bash-16796 [000] 20143.614798: funcgraph_entry:                   |                      acct_account_cputime() {
            bash-16796 [000] 20143.614799: funcgraph_entry:        0.641 us   |                        __acct_update_integrals();
            bash-16796 [000] 20143.614800: funcgraph_exit:         1.889 us   |                      }
            bash-16796 [000] 20143.614800: funcgraph_exit:         7.590 us   |                    }
            bash-16796 [000] 20143.614801: funcgraph_exit:         8.668 us   |                  }
            bash-16796 [000] 20143.614801: funcgraph_exit:         9.803 us   |                }
            bash-16796 [000] 20143.614802: funcgraph_entry:                   |                run_local_timers() {
            bash-16796 [000] 20143.614803: funcgraph_entry:        0.477 us   |                  hrtimer_run_queues();
            bash-16796 [000] 20143.614804: funcgraph_entry:        0.546 us   |                  raise_softirq();
            bash-16796 [000] 20143.614805: funcgraph_exit:         2.623 us   |                }
            bash-16796 [000] 20143.614805: funcgraph_entry:                   |                rcu_check_callbacks() {
            bash-16796 [000] 20143.614807: funcgraph_entry:        0.645 us   |                  rcu_segcblist_ready_cbs();
            bash-16796 [000] 20143.614808: funcgraph_entry:                   |                  cpu_needs_another_gp() {
            bash-16796 [000] 20143.614809: funcgraph_entry:        0.660 us   |                    rcu_segcblist_future_gp_needed();
            bash-16796 [000] 20143.614810: funcgraph_exit:         1.933 us   |                  }
            bash-16796 [000] 20143.614811: funcgraph_entry:        0.569 us   |                  rcu_segcblist_ready_cbs();
            bash-16796 [000] 20143.614812: funcgraph_entry:                   |                  cpu_needs_another_gp() {
            bash-16796 [000] 20143.614813: funcgraph_entry:        0.477 us   |                    rcu_segcblist_future_gp_needed();
            bash-16796 [000] 20143.614814: funcgraph_exit:         1.916 us   |                  }
            bash-16796 [000] 20143.614814: funcgraph_exit:         9.173 us   |                }
            bash-16796 [000] 20143.614815: funcgraph_entry:                   |                scheduler_tick() {
            bash-16796 [000] 20143.614816: funcgraph_entry:        0.546 us   |                  _raw_spin_lock();
            bash-16796 [000] 20143.614817: funcgraph_entry:        0.568 us   |                  update_rq_clock();
            bash-16796 [000] 20143.614818: funcgraph_entry:                   |                  task_tick_fair() {
            bash-16796 [000] 20143.614819: funcgraph_entry:                   |                    update_curr() {
            bash-16796 [000] 20143.614819: funcgraph_entry:        0.521 us   |                      update_min_vruntime();
            bash-16796 [000] 20143.614820: funcgraph_entry:        0.618 us   |                      cpuacct_charge();
            bash-16796 [000] 20143.614821: funcgraph_entry:                   |                      __cgroup_account_cputime() {
            bash-16796 [000] 20143.614824: funcgraph_entry:        2.157 us   |                        cgroup_cpu_stat_updated();
            bash-16796 [000] 20143.614825: funcgraph_exit:         3.178 us   |                      }
            bash-16796 [000] 20143.614825: funcgraph_exit:         6.475 us   |                    }
            bash-16796 [000] 20143.614826: funcgraph_entry:        0.714 us   |                    __update_load_avg_se.isra.38();
            bash-16796 [000] 20143.614827: funcgraph_entry:        0.609 us   |                    update_cfs_group();
            bash-16796 [000] 20143.614829: funcgraph_entry:        0.558 us   |                    hrtimer_active();
            bash-16796 [000] 20143.614830: funcgraph_entry:                   |                    update_curr() {
            bash-16796 [000] 20143.614830: funcgraph_entry:        0.558 us   |                      update_min_vruntime();
            bash-16796 [000] 20143.614831: funcgraph_exit:         1.703 us   |                    }
            bash-16796 [000] 20143.614832: funcgraph_entry:        0.623 us   |                    __update_load_avg_se.isra.38();
            bash-16796 [000] 20143.614833: funcgraph_entry:                   |                    update_cfs_group() {
            bash-16796 [000] 20143.614834: funcgraph_entry:                   |                      reweight_entity() {
            bash-16796 [000] 20143.614834: funcgraph_entry:        0.542 us   |                        update_curr();
            bash-16796 [000] 20143.614835: funcgraph_entry:        0.534 us   |                        account_entity_dequeue();
            bash-16796 [000] 20143.614837: funcgraph_entry:        0.540 us   |                        account_entity_enqueue();
            bash-16796 [000] 20143.614838: funcgraph_exit:         4.009 us   |                      }
            bash-16796 [000] 20143.614838: funcgraph_exit:         5.153 us   |                    }
            bash-16796 [000] 20143.614839: funcgraph_entry:        0.485 us   |                    hrtimer_active();
            bash-16796 [000] 20143.614840: funcgraph_entry:                   |                    sched_slice.isra.66() {
            bash-16796 [000] 20143.614840: funcgraph_entry:        0.650 us   |                      __calc_delta();
            bash-16796 [000] 20143.614841: funcgraph_exit:         1.705 us   |                    }
            bash-16796 [000] 20143.614842: funcgraph_exit:       + 23.802 us  |                  }
            bash-16796 [000] 20143.614843: funcgraph_entry:                   |                  cpu_load_update_active() {
            bash-16796 [000] 20143.614843: funcgraph_entry:        0.489 us   |                    tick_nohz_tick_stopped();
            bash-16796 [000] 20143.614844: funcgraph_entry:                   |                    cpu_load_update() {
            bash-16796 [000] 20143.614845: funcgraph_entry:        0.494 us   |                      sched_avg_update();
            bash-16796 [000] 20143.614846: funcgraph_exit:         1.709 us   |                    }
            bash-16796 [000] 20143.614846: funcgraph_exit:         3.737 us   |                  }
            bash-16796 [000] 20143.614847: funcgraph_entry:        0.551 us   |                  calc_global_load_tick();
            bash-16796 [000] 20143.614849: funcgraph_entry:                   |                  trigger_load_balance() {
            bash-16796 [000] 20143.614849: funcgraph_entry:        0.541 us   |                    raise_softirq();
            bash-16796 [000] 20143.614851: funcgraph_entry:        0.842 us   |                    nohz_balance_exit_idle.part.100();
            bash-16796 [000] 20143.614852: funcgraph_entry:        0.481 us   |                    housekeeping_cpumask();
            bash-16796 [000] 20143.614854: funcgraph_entry:        0.962 us   |                    idle_cpu();
            bash-16796 [000] 20143.614856: funcgraph_entry:                   |                    native_smp_send_reschedule() {
            bash-16796 [000] 20143.614857: funcgraph_entry:      + 66.657 us  |                      x2apic_send_IPI();
            bash-16796 [000] 20143.614925: funcgraph_exit:       + 68.963 us  |                    }
            bash-16796 [000] 20143.614926: funcgraph_exit:       + 76.822 us  |                  }
            bash-16796 [000] 20143.614926: funcgraph_exit:       ! 110.848 us |                }
            bash-16796 [000] 20143.614927: funcgraph_entry:        0.958 us   |                run_posix_cpu_timers();
            bash-16796 [000] 20143.614929: funcgraph_exit:       ! 137.859 us |              }
            bash-16796 [000] 20143.614930: funcgraph_entry:        0.743 us   |              profile_tick();
            bash-16796 [000] 20143.614931: funcgraph_exit:       ! 140.337 us |            }
            bash-16796 [000] 20143.614931: funcgraph_entry:        0.585 us   |            hrtimer_forward();
            bash-16796 [000] 20143.614933: funcgraph_exit:       ! 163.639 us |          }
            bash-16796 [000] 20143.614933: funcgraph_entry:        0.541 us   |          _raw_spin_lock();
            bash-16796 [000] 20143.614934: funcgraph_entry:        1.757 us   |          enqueue_hrtimer();
            bash-16796 [000] 20143.614938: funcgraph_exit:       ! 172.261 us |        }
            bash-16796 [000] 20143.614939: funcgraph_entry:                   |        tick_program_event() {
            bash-16796 [000] 20143.614940: funcgraph_entry:                   |          clockevents_program_event() {
            bash-16796 [000] 20143.614940: funcgraph_entry:        0.662 us   |            ktime_get();
            bash-16796 [000] 20143.614942: funcgraph_entry:      + 67.368 us  |            lapic_next_deadline();
            bash-16796 [000] 20143.615011: funcgraph_exit:       + 70.968 us  |          }
            bash-16796 [000] 20143.615011: funcgraph_exit:       + 72.180 us  |        }
            bash-16796 [000] 20143.615012: funcgraph_exit:       ! 250.599 us |      }
            bash-16796 [000] 20143.615013: funcgraph_entry:                   |      irq_exit() {
            bash-16796 [000] 20143.615014: funcgraph_entry:                   |        __do_softirq() {
            bash-16796 [000] 20143.615015: funcgraph_entry:                   |          run_timer_softirq() {
            bash-16796 [000] 20143.615016: funcgraph_entry:        0.505 us   |            _raw_spin_lock_irq();
            bash-16796 [000] 20143.615017: funcgraph_entry:        0.529 us   |            _raw_spin_lock_irq();
            bash-16796 [000] 20143.615018: funcgraph_entry:        1.499 us   |            __next_timer_interrupt();
            bash-16796 [000] 20143.615020: funcgraph_exit:         5.263 us   |          }
            bash-16796 [000] 20143.615021: funcgraph_entry:                   |          run_rebalance_domains() {
            bash-16796 [000] 20143.615022: funcgraph_entry:                   |            rebalance_domains() {
            bash-16796 [000] 20143.615023: funcgraph_entry:                   |              update_blocked_averages() {
            bash-16796 [000] 20143.615023: funcgraph_entry:        0.552 us   |                _raw_spin_lock_irqsave();
            bash-16796 [000] 20143.615024: funcgraph_entry:        0.581 us   |                update_rq_clock();
            bash-16796 [000] 20143.615026: funcgraph_entry:        0.565 us   |                decay_load();
            bash-16796 [000] 20143.615027: funcgraph_entry:        0.530 us   |                decay_load();
            bash-16796 [000] 20143.615028: funcgraph_entry:        0.525 us   |                decay_load();
            bash-16796 [000] 20143.615029: funcgraph_entry:        0.553 us   |                __accumulate_pelt_segments();
            bash-16796 [000] 20143.615032: funcgraph_entry:                   |                __update_load_avg_se.isra.38() {
            bash-16796 [000] 20143.615032: funcgraph_entry:        0.513 us   |                  decay_load();
            bash-16796 [000] 20143.615033: funcgraph_entry:        0.498 us   |                  decay_load();
            bash-16796 [000] 20143.615034: funcgraph_entry:        0.500 us   |                  decay_load();
            bash-16796 [000] 20143.615037: funcgraph_entry:        0.673 us   |                  __accumulate_pelt_segments();
            bash-16796 [000] 20143.615038: funcgraph_exit:         6.244 us   |                }
            bash-16796 [000] 20143.615039: funcgraph_entry:        0.557 us   |                decay_load();
            bash-16796 [000] 20143.615040: funcgraph_entry:        0.658 us   |                decay_load();
            bash-16796 [000] 20143.615041: funcgraph_entry:        0.529 us   |                decay_load();
            bash-16796 [000] 20143.615042: funcgraph_entry:        0.545 us   |                __accumulate_pelt_segments();
            bash-16796 [000] 20143.615043: funcgraph_entry:        0.530 us   |                decay_load();
            bash-16796 [000] 20143.615044: funcgraph_entry:        0.498 us   |                decay_load();
            bash-16796 [000] 20143.615045: funcgraph_entry:        0.502 us   |                decay_load();
            bash-16796 [000] 20143.615046: funcgraph_entry:        0.584 us   |                __accumulate_pelt_segments();
            bash-16796 [000] 20143.615049: funcgraph_entry:                   |                __update_load_avg_se.isra.38() {
            bash-16796 [000] 20143.615049: funcgraph_entry:        0.505 us   |                  decay_load();
            bash-16796 [000] 20143.615050: funcgraph_entry:        0.498 us   |                  decay_load();
            bash-16796 [000] 20143.615051: funcgraph_entry:        0.494 us   |                  decay_load();
            bash-16796 [000] 20143.615052: funcgraph_entry:        0.500 us   |                  __accumulate_pelt_segments();
            bash-16796 [000] 20143.615053: funcgraph_exit:         4.594 us   |                }
            bash-16796 [000] 20143.615054: funcgraph_entry:        0.517 us   |                decay_load();
            bash-16796 [000] 20143.615055: funcgraph_entry:        0.509 us   |                decay_load();
            bash-16796 [000] 20143.615056: funcgraph_entry:        0.614 us   |                decay_load();
            bash-16796 [000] 20143.615057: funcgraph_entry:        0.517 us   |                __accumulate_pelt_segments();
            bash-16796 [000] 20143.615059: funcgraph_entry:                   |                __update_load_avg_se.isra.38() {
            bash-16796 [000] 20143.615060: funcgraph_entry:        0.508 us   |                  decay_load();
            bash-16796 [000] 20143.615061: funcgraph_entry:        0.504 us   |                  decay_load();
            bash-16796 [000] 20143.615062: funcgraph_entry:        0.489 us   |                  decay_load();
            bash-16796 [000] 20143.615062: funcgraph_entry:        0.498 us   |                  __accumulate_pelt_segments();
            bash-16796 [000] 20143.615064: funcgraph_exit:         4.695 us   |                }
            bash-16796 [000] 20143.615064: funcgraph_entry:        0.505 us   |                decay_load();
            bash-16796 [000] 20143.615065: funcgraph_entry:        0.498 us   |                decay_load();
            bash-16796 [000] 20143.615066: funcgraph_entry:        0.498 us   |                decay_load();
            bash-16796 [000] 20143.615067: funcgraph_entry:        0.506 us   |                __accumulate_pelt_segments();
            bash-16796 [000] 20143.615069: funcgraph_entry:        0.513 us   |                decay_load();
            bash-16796 [000] 20143.615070: funcgraph_entry:        0.585 us   |                decay_load();
            bash-16796 [000] 20143.615071: funcgraph_entry:        0.506 us   |                decay_load();
            bash-16796 [000] 20143.615072: funcgraph_entry:        0.504 us   |                __accumulate_pelt_segments();
