CPU 1 is empty
cpus=2
            node-3432  [000] 23007.563452: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [000] 23007.563915: funcgraph_entry:                   |      vfs_read() {
            bash-16796 [000] 23007.563916: funcgraph_entry:                   |        rw_verify_area() {
            bash-16796 [000] 23007.563917: funcgraph_entry:                   |          security_file_permission() {
            bash-16796 [000] 23007.563918: funcgraph_entry:                   |            apparmor_file_permission() {
            bash-16796 [000] 23007.563918: funcgraph_entry:                   |              common_file_perm() {
            bash-16796 [000] 23007.563920: funcgraph_entry:        0.781 us   |                aa_file_perm();
            bash-16796 [000] 23007.563922: funcgraph_exit:         3.378 us   |              }
            bash-16796 [000] 23007.563922: funcgraph_exit:         4.460 us   |            }
            bash-16796 [000] 23007.563923: funcgraph_entry:        0.541 us   |            __fsnotify_parent();
            bash-16796 [000] 23007.563924: funcgraph_entry:        1.168 us   |            fsnotify();
            bash-16796 [000] 23007.563926: funcgraph_exit:         9.136 us   |          }
            bash-16796 [000] 23007.563926: funcgraph_exit:       + 10.770 us  |        }
            bash-16796 [000] 23007.563927: funcgraph_entry:                   |        __vfs_read() {
            bash-16796 [000] 23007.563929: funcgraph_entry:                   |          tty_read() {
            bash-16796 [000] 23007.563930: funcgraph_entry:        0.561 us   |            tty_paranoia_check();
            bash-16796 [000] 23007.563931: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            bash-16796 [000] 23007.563931: funcgraph_entry:                   |              ldsem_down_read() {
            bash-16796 [000] 23007.563932: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [000] 23007.563932: funcgraph_entry:        0.566 us   |                  rcu_all_qs();
            bash-16796 [000] 23007.563933: funcgraph_exit:         1.624 us   |                }
            bash-16796 [000] 23007.563934: funcgraph_exit:         2.822 us   |              }
            bash-16796 [000] 23007.563935: funcgraph_exit:         3.984 us   |            }
            bash-16796 [000] 23007.563935: funcgraph_entry:                   |            n_tty_read() {
            bash-16796 [000] 23007.563936: funcgraph_entry:                   |              __tty_check_change() {
            bash-16796 [000] 23007.563937: funcgraph_entry:                   |                __tty_check_change.part.0() {
            bash-16796 [000] 23007.563938: funcgraph_entry:        0.651 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563939: funcgraph_entry:        0.566 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563941: funcgraph_exit:         3.282 us   |                }
            bash-16796 [000] 23007.563941: funcgraph_exit:         4.922 us   |              }
            bash-16796 [000] 23007.563942: funcgraph_entry:                   |              mutex_lock_interruptible() {
            bash-16796 [000] 23007.563942: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [000] 23007.563943: funcgraph_entry:        0.527 us   |                  rcu_all_qs();
            bash-16796 [000] 23007.563944: funcgraph_exit:         1.564 us   |                }
            bash-16796 [000] 23007.563945: funcgraph_exit:         2.837 us   |              }
            bash-16796 [000] 23007.563945: funcgraph_entry:                   |              down_read() {
            bash-16796 [000] 23007.563946: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [000] 23007.563946: funcgraph_entry:        0.531 us   |                  rcu_all_qs();
            bash-16796 [000] 23007.563947: funcgraph_exit:         1.584 us   |                }
            bash-16796 [000] 23007.563948: funcgraph_exit:         2.676 us   |              }
            bash-16796 [000] 23007.563949: funcgraph_entry:                   |              add_wait_queue() {
            bash-16796 [000] 23007.563949: funcgraph_entry:        0.536 us   |                _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563950: funcgraph_entry:        0.577 us   |                _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563952: funcgraph_exit:         2.867 us   |              }
            bash-16796 [000] 23007.563952: funcgraph_entry:                   |              copy_from_read_buf() {
            bash-16796 [000] 23007.563953: funcgraph_entry:                   |                __check_object_size() {
            bash-16796 [000] 23007.563953: funcgraph_entry:        0.567 us   |                  check_stack_object();
            bash-16796 [000] 23007.563955: funcgraph_entry:        0.687 us   |                  __virt_addr_valid();
            bash-16796 [000] 23007.563956: funcgraph_exit:         3.378 us   |                }
            bash-16796 [000] 23007.563957: funcgraph_entry:        0.752 us   |                tty_audit_add_data();
            bash-16796 [000] 23007.563959: funcgraph_exit:         6.354 us   |              }
            bash-16796 [000] 23007.563959: funcgraph_entry:        0.611 us   |              copy_from_read_buf();
            bash-16796 [000] 23007.563961: funcgraph_entry:        0.541 us   |              n_tty_kick_worker();
            bash-16796 [000] 23007.563962: funcgraph_entry:                   |              tty_wakeup() {
            bash-16796 [000] 23007.563962: funcgraph_entry:                   |                __wake_up() {
            bash-16796 [000] 23007.563963: funcgraph_entry:                   |                  __wake_up_common_lock() {
            bash-16796 [000] 23007.563963: funcgraph_entry:        0.571 us   |                    _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563964: funcgraph_entry:                   |                    __wake_up_common() {
            bash-16796 [000] 23007.563965: funcgraph_entry:                   |                      ep_poll_callback() {
            bash-16796 [000] 23007.563966: funcgraph_entry:        0.847 us   |                        _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563968: funcgraph_entry:        0.566 us   |                        _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563969: funcgraph_exit:         3.418 us   |                      }
            bash-16796 [000] 23007.563969: funcgraph_exit:         4.986 us   |                    }
            bash-16796 [000] 23007.563970: funcgraph_entry:        0.572 us   |                    _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563971: funcgraph_exit:         8.294 us   |                  }
            bash-16796 [000] 23007.563972: funcgraph_exit:         9.336 us   |                }
            bash-16796 [000] 23007.563972: funcgraph_exit:       + 10.429 us  |              }
            bash-16796 [000] 23007.563973: funcgraph_entry:        0.546 us   |              n_tty_kick_worker();
            bash-16796 [000] 23007.563974: funcgraph_entry:        0.581 us   |              up_read();
            bash-16796 [000] 23007.563975: funcgraph_entry:                   |              remove_wait_queue() {
            bash-16796 [000] 23007.563976: funcgraph_entry:        0.566 us   |                _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563977: funcgraph_entry:        0.577 us   |                _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563978: funcgraph_exit:         2.797 us   |              }
            bash-16796 [000] 23007.563979: funcgraph_entry:        0.546 us   |              mutex_unlock();
            bash-16796 [000] 23007.563980: funcgraph_exit:       + 44.117 us  |            }
            bash-16796 [000] 23007.563980: funcgraph_entry:                   |            tty_ldisc_deref() {
            bash-16796 [000] 23007.563981: funcgraph_entry:        0.526 us   |              ldsem_up_read();
            bash-16796 [000] 23007.563982: funcgraph_exit:         1.594 us   |            }
            bash-16796 [000] 23007.563982: funcgraph_entry:        0.681 us   |            ktime_get_real_seconds();
            bash-16796 [000] 23007.563984: funcgraph_exit:       + 55.774 us  |          }
            bash-16796 [000] 23007.563984: funcgraph_exit:       + 57.197 us  |        }
            bash-16796 [000] 23007.563985: funcgraph_entry:        0.546 us   |        __fsnotify_parent();
            bash-16796 [000] 23007.563986: funcgraph_entry:        0.562 us   |        fsnotify();
            bash-16796 [000] 23007.563987: funcgraph_exit:       + 72.252 us  |      }
            bash-16796 [000] 23007.563988: funcgraph_exit:       + 75.926 us  |    }
            bash-16796 [000] 23007.563989: funcgraph_exit:       + 78.411 us  |  }
            bash-16796 [000] 23007.563997: funcgraph_entry:                   |  do_syscall_64() {
            bash-16796 [000] 23007.563998: funcgraph_entry:                   |    SyS_pselect6() {
            bash-16796 [000] 23007.563999: funcgraph_entry:                   |      sigprocmask() {
            bash-16796 [000] 23007.564000: funcgraph_entry:        0.561 us   |        __set_current_blocked();
            bash-16796 [000] 23007.564001: funcgraph_exit:         1.804 us   |      }
            bash-16796 [000] 23007.564001: funcgraph_entry:                   |      core_sys_select() {
            bash-16796 [000] 23007.564002: funcgraph_entry:                   |        __check_object_size() {
            bash-16796 [000] 23007.564003: funcgraph_entry:        0.626 us   |          check_stack_object();
            bash-16796 [000] 23007.564004: funcgraph_exit:         1.704 us   |        }
            bash-16796 [000] 23007.564005: funcgraph_entry:                   |        do_select() {
            bash-16796 [000] 23007.564006: funcgraph_entry:                   |          __fdget() {
            bash-16796 [000] 23007.564007: funcgraph_entry:        0.577 us   |            __fget_light();
            bash-16796 [000] 23007.564009: funcgraph_exit:         1.674 us   |          }
            bash-16796 [000] 23007.564010: funcgraph_entry:                   |          tty_poll() {
            bash-16796 [000] 23007.564010: funcgraph_entry:        0.536 us   |            tty_paranoia_check();
            bash-16796 [000] 23007.564012: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            bash-16796 [000] 23007.564012: funcgraph_entry:                   |              ldsem_down_read() {
            bash-16796 [000] 23007.564013: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [000] 23007.564013: funcgraph_entry:        0.532 us   |                  rcu_all_qs();
            bash-16796 [000] 23007.564014: funcgraph_exit:         1.724 us   |                }
            bash-16796 [000] 23007.564015: funcgraph_exit:         2.866 us   |              }
            bash-16796 [000] 23007.564016: funcgraph_exit:         3.979 us   |            }
            bash-16796 [000] 23007.564016: funcgraph_entry:                   |            n_tty_poll() {
            bash-16796 [000] 23007.564017: funcgraph_entry:                   |              __pollwait() {
            bash-16796 [000] 23007.564018: funcgraph_entry:                   |                add_wait_queue() {
            bash-16796 [000] 23007.564018: funcgraph_entry:        0.521 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.564019: funcgraph_entry:        0.572 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.564020: funcgraph_exit:         2.837 us   |                }
            bash-16796 [000] 23007.564021: funcgraph_exit:         4.059 us   |              }
            bash-16796 [000] 23007.564022: funcgraph_entry:                   |              __pollwait() {
            bash-16796 [000] 23007.564022: funcgraph_entry:                   |                add_wait_queue() {
            bash-16796 [000] 23007.564023: funcgraph_entry:        0.532 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.564024: funcgraph_entry:        0.581 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.564025: funcgraph_exit:         2.711 us   |                }
            bash-16796 [000] 23007.564025: funcgraph_exit:         3.854 us   |              }
            bash-16796 [000] 23007.564026: funcgraph_entry:        0.541 us   |              tty_hung_up_p();
            bash-16796 [000] 23007.564027: funcgraph_entry:                   |              tty_chars_in_buffer() {
            bash-16796 [000] 23007.564028: funcgraph_entry:        0.551 us   |                pty_chars_in_buffer();
            bash-16796 [000] 23007.564029: funcgraph_exit:         1.678 us   |              }
            bash-16796 [000] 23007.564029: funcgraph_entry:                   |              tty_write_room() {
            bash-16796 [000] 23007.564030: funcgraph_entry:                   |                pty_write_room() {
            bash-16796 [000] 23007.564031: funcgraph_entry:        0.536 us   |                  tty_buffer_space_avail();
            bash-16796 [000] 23007.564032: funcgraph_exit:         1.679 us   |                }
            bash-16796 [000] 23007.564032: funcgraph_exit:         2.937 us   |              }
            bash-16796 [000] 23007.564033: funcgraph_exit:       + 16.704 us  |            }
            bash-16796 [000] 23007.564033: funcgraph_entry:                   |            tty_ldisc_deref() {
            bash-16796 [000] 23007.564034: funcgraph_entry:        0.532 us   |              ldsem_up_read();
            bash-16796 [000] 23007.564035: funcgraph_exit:         1.624 us   |            }
            bash-16796 [000] 23007.564036: funcgraph_exit:       + 25.769 us  |          }
            bash-16796 [000] 23007.564036: funcgraph_entry:                   |          _cond_resched() {
            bash-16796 [000] 23007.564037: funcgraph_entry:        0.536 us   |            rcu_all_qs();
            bash-16796 [000] 23007.564038: funcgraph_exit:         1.588 us   |          }
            bash-16796 [000] 23007.564038: funcgraph_entry:                   |          poll_freewait() {
            bash-16796 [000] 23007.564039: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [000] 23007.564039: funcgraph_entry:        0.536 us   |              _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.564041: funcgraph_entry:        0.576 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.564042: funcgraph_exit:         2.711 us   |            }
            bash-16796 [000] 23007.564042: funcgraph_entry:        0.567 us   |            fput();
            bash-16796 [000] 23007.564043: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [000] 23007.564044: funcgraph_entry:        0.531 us   |              _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.564045: funcgraph_entry:        0.571 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.564046: funcgraph_exit:         2.731 us   |            }
            bash-16796 [000] 23007.564047: funcgraph_entry:        0.551 us   |            fput();
            bash-16796 [000] 23007.564048: funcgraph_exit:         9.356 us   |          }
            bash-16796 [000] 23007.564048: funcgraph_exit:       + 43.300 us  |        }
            bash-16796 [000] 23007.564049: funcgraph_entry:                   |        __check_object_size() {
            bash-16796 [000] 23007.564050: funcgraph_entry:        0.582 us   |          check_stack_object();
            bash-16796 [000] 23007.564051: funcgraph_exit:         1.674 us   |        }
            bash-16796 [000] 23007.564051: funcgraph_exit:       + 49.835 us  |      }
            bash-16796 [000] 23007.564052: funcgraph_entry:        0.596 us   |      poll_select_copy_remaining();
            bash-16796 [000] 23007.564053: funcgraph_entry:                   |      sigprocmask() {
            bash-16796 [000] 23007.564054: funcgraph_entry:        0.546 us   |        __set_current_blocked();
            bash-16796 [000] 23007.564055: funcgraph_exit:         1.669 us   |      }
            bash-16796 [000] 23007.564055: funcgraph_exit:       + 57.142 us  |    }
            bash-16796 [000] 23007.564057: funcgraph_exit:       + 59.363 us  |  }
            bash-16796 [000] 23007.564058: funcgraph_entry:                   |  do_syscall_64() {
            bash-16796 [000] 23007.564059: funcgraph_entry:                   |    sys_read() {
            bash-16796 [000] 23007.564059: funcgraph_entry:                   |      __fdget_pos() {
            bash-16796 [000] 23007.564060: funcgraph_entry:        0.617 us   |        __fget_light();
            bash-16796 [000] 23007.564061: funcgraph_exit:         1.704 us   |      }
            bash-16796 [000] 23007.564062: funcgraph_entry:                   |      vfs_read() {
            bash-16796 [000] 23007.564062: funcgraph_entry:                   |        rw_verify_area() {
            bash-16796 [000] 23007.564063: funcgraph_entry:                   |          security_file_permission() {
            bash-16796 [000] 23007.564063: funcgraph_entry:                   |            apparmor_file_permission() {
            bash-16796 [000] 23007.564064: funcgraph_entry:                   |              common_file_perm() {
            bash-16796 [000] 23007.564064: funcgraph_entry:        0.531 us   |                aa_file_perm();
            bash-16796 [000] 23007.564066: funcgraph_exit:         1.678 us   |              }
            bash-16796 [000] 23007.564066: funcgraph_exit:         2.762 us   |            }
            bash-16796 [000] 23007.564067: funcgraph_entry:        0.566 us   |            __fsnotify_parent();
