CPU 0 is empty
cpus=2
            main-27967 [001] 14428.023792: funcgraph_exit:         6.933 us   |      }
            main-27967 [001] 14428.023792: funcgraph_entry:                   |      get_sigframe.isra.13.constprop.14() {
            main-27967 [001] 14428.023792: funcgraph_entry:        0.314 us   |        fpu__alloc_mathframe();
            main-27967 [001] 14428.023793: funcgraph_entry:                   |        copy_fpstate_to_sigframe() {
            main-27967 [001] 14428.023793: funcgraph_entry:        0.229 us   |          __clear_user();
            main-27967 [001] 14428.023794: funcgraph_exit:         0.862 us   |        }
            main-27967 [001] 14428.023794: funcgraph_exit:         1.991 us   |      }
            main-27967 [001] 14428.023794: funcgraph_entry:        0.253 us   |      setup_sigcontext();
            main-27967 [001] 14428.023795: funcgraph_entry:                   |      fpu__clear() {
            main-27967 [001] 14428.023795: funcgraph_entry:        0.226 us   |        fpu__drop();
            main-27967 [001] 14428.023795: funcgraph_entry:                   |        fpu__initialize() {
            main-27967 [001] 14428.023796: funcgraph_entry:        0.302 us   |          fpstate_init();
            main-27967 [001] 14428.023796: funcgraph_exit:         0.758 us   |        }
            main-27967 [001] 14428.023796: funcgraph_exit:         1.692 us   |      }
            main-27967 [001] 14428.023797: funcgraph_entry:                   |      signal_setup_done() {
            main-27967 [001] 14428.023797: funcgraph_entry:                   |        __set_current_blocked() {
            main-27967 [001] 14428.023797: funcgraph_entry:        0.190 us   |          _raw_spin_lock_irq();
            main-27967 [001] 14428.023797: funcgraph_entry:                   |          __set_task_blocked() {
            main-27967 [001] 14428.023798: funcgraph_entry:                   |            recalc_sigpending() {
            main-27967 [001] 14428.023798: funcgraph_entry:        0.184 us   |              recalc_sigpending_tsk();
            main-27967 [001] 14428.023798: funcgraph_exit:         0.547 us   |            }
            main-27967 [001] 14428.023798: funcgraph_exit:         0.925 us   |          }
            main-27967 [001] 14428.023799: funcgraph_exit:         1.712 us   |        }
            main-27967 [001] 14428.023799: funcgraph_exit:         2.108 us   |      }
            main-27967 [001] 14428.023799: funcgraph_exit:       + 14.547 us  |    }
            main-27967 [001] 14428.023799: funcgraph_exit:       + 15.112 us  |  }
            main-27967 [001] 14428.023805: funcgraph_entry:                   |  do_syscall_64() {
            main-27967 [001] 14428.023806: funcgraph_entry:                   |    SyS_write() {
            main-27967 [001] 14428.023806: funcgraph_entry:                   |      __fdget_pos() {
            main-27967 [001] 14428.023806: funcgraph_entry:        0.974 us   |        __fget_light();
            main-27967 [001] 14428.023807: funcgraph_exit:         1.383 us   |      }
            main-27967 [001] 14428.023807: funcgraph_entry:                   |      vfs_write() {
            main-27967 [001] 14428.023808: funcgraph_entry:                   |        rw_verify_area() {
            main-27967 [001] 14428.023808: funcgraph_entry:                   |          security_file_permission() {
            main-27967 [001] 14428.023808: funcgraph_entry:                   |            apparmor_file_permission() {
            main-27967 [001] 14428.023809: funcgraph_entry:                   |              common_file_perm() {
            main-27967 [001] 14428.023809: funcgraph_entry:        0.533 us   |                aa_file_perm();
            main-27967 [001] 14428.023810: funcgraph_exit:         1.172 us   |              }
            main-27967 [001] 14428.023810: funcgraph_exit:         1.546 us   |            }
            main-27967 [001] 14428.023810: funcgraph_exit:         2.094 us   |          }
            main-27967 [001] 14428.023811: funcgraph_exit:         2.956 us   |        }
            main-27967 [001] 14428.023811: funcgraph_entry:                   |        __vfs_write() {
            main-27967 [001] 14428.023811: funcgraph_entry:                   |          tty_write() {
            main-27967 [001] 14428.023812: funcgraph_entry:        0.358 us   |            tty_paranoia_check();
            main-27967 [001] 14428.023812: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            main-27967 [001] 14428.023812: funcgraph_entry:                   |              ldsem_down_read() {
            main-27967 [001] 14428.023813: funcgraph_entry:                   |                _cond_resched() {
            main-27967 [001] 14428.023813: funcgraph_entry:        0.180 us   |                  rcu_all_qs();
            main-27967 [001] 14428.023813: funcgraph_exit:         0.544 us   |                }
            main-27967 [001] 14428.023813: funcgraph_exit:         0.940 us   |              }
            main-27967 [001] 14428.023814: funcgraph_exit:         1.318 us   |            }
            main-27967 [001] 14428.023814: funcgraph_entry:                   |            tty_write_lock() {
            main-27967 [001] 14428.023814: funcgraph_entry:        0.213 us   |              mutex_trylock();
            main-27967 [001] 14428.023815: funcgraph_exit:         0.605 us   |            }
            main-27967 [001] 14428.023815: funcgraph_entry:                   |            __check_object_size() {
            main-27967 [001] 14428.023815: funcgraph_entry:        0.244 us   |              check_stack_object();
            main-27967 [001] 14428.023816: funcgraph_entry:        0.302 us   |              __virt_addr_valid();
            main-27967 [001] 14428.023816: funcgraph_entry:        0.296 us   |              __check_heap_object();
            main-27967 [001] 14428.023817: funcgraph_exit:         1.966 us   |            }
            main-27967 [001] 14428.023817: funcgraph_entry:                   |            n_tty_write() {
            main-27967 [001] 14428.023818: funcgraph_entry:                   |              down_read() {
            main-27967 [001] 14428.023818: funcgraph_entry:                   |                _cond_resched() {
            main-27967 [001] 14428.023818: funcgraph_entry:        0.195 us   |                  rcu_all_qs();
            main-27967 [001] 14428.023819: funcgraph_exit:         0.602 us   |                }
            main-27967 [001] 14428.023819: funcgraph_exit:         1.049 us   |              }
            main-27967 [001] 14428.023819: funcgraph_entry:        0.560 us   |              process_echoes();
            main-27967 [001] 14428.023820: funcgraph_entry:                   |              add_wait_queue() {
            main-27967 [001] 14428.023820: funcgraph_entry:        0.266 us   |                _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023820: funcgraph_entry:        0.195 us   |                _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023821: funcgraph_exit:         1.031 us   |              }
            main-27967 [001] 14428.023821: funcgraph_entry:        0.196 us   |              tty_hung_up_p();
            main-27967 [001] 14428.023822: funcgraph_entry:                   |              mutex_lock() {
            main-27967 [001] 14428.023822: funcgraph_entry:                   |                _cond_resched() {
            main-27967 [001] 14428.023822: funcgraph_entry:        0.179 us   |                  rcu_all_qs();
            main-27967 [001] 14428.023822: funcgraph_exit:         0.543 us   |                }
            main-27967 [001] 14428.023822: funcgraph_exit:         0.912 us   |              }
            main-27967 [001] 14428.023823: funcgraph_entry:                   |              tty_write_room() {
            main-27967 [001] 14428.023823: funcgraph_entry:                   |                pty_write_room() {
            main-27967 [001] 14428.023823: funcgraph_entry:        0.319 us   |                  tty_buffer_space_avail();
            main-27967 [001] 14428.023824: funcgraph_exit:         0.740 us   |                }
            main-27967 [001] 14428.023824: funcgraph_exit:         1.179 us   |              }
            main-27967 [001] 14428.023824: funcgraph_entry:                   |              pty_write() {
            main-27967 [001] 14428.023825: funcgraph_entry:        0.252 us   |                _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023825: funcgraph_entry:                   |                tty_insert_flip_string_fixed_flag() {
            main-27967 [001] 14428.023825: funcgraph_entry:        0.288 us   |                  __tty_buffer_request_room();
            main-27967 [001] 14428.023826: funcgraph_exit:         0.748 us   |                }
            main-27967 [001] 14428.023826: funcgraph_entry:        0.208 us   |                _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023826: funcgraph_entry:                   |                tty_flip_buffer_push() {
            main-27967 [001] 14428.023827: funcgraph_entry:                   |                  queue_work_on() {
            main-27967 [001] 14428.023827: funcgraph_entry:                   |                    __queue_work() {
            main-27967 [001] 14428.023827: funcgraph_entry:        0.428 us   |                      get_work_pool();
            main-27967 [001] 14428.023828: funcgraph_entry:        0.207 us   |                      _raw_spin_lock();
            main-27967 [001] 14428.023828: funcgraph_entry:                   |                      insert_work() {
            main-27967 [001] 14428.023828: funcgraph_entry:        0.179 us   |                        get_pwq.isra.20();
            main-27967 [001] 14428.023829: funcgraph_entry:                   |                        wake_up_process() {
