CPU 0 is empty
cpus=2
  kworker/u256:0-26003 [001] 15406.201814: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [001] 15406.201960: funcgraph_entry:                   |              mutex_lock_interruptible() {
            bash-16796 [001] 15406.201960: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.201960: funcgraph_entry:        0.132 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.201961: funcgraph_exit:         0.400 us   |                }
            bash-16796 [001] 15406.201961: funcgraph_exit:         0.747 us   |              }
            bash-16796 [001] 15406.201961: funcgraph_entry:                   |              down_read() {
            bash-16796 [001] 15406.201961: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.201961: funcgraph_entry:        0.133 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.201962: funcgraph_exit:         0.400 us   |                }
            bash-16796 [001] 15406.201962: funcgraph_exit:         0.679 us   |              }
            bash-16796 [001] 15406.201962: funcgraph_entry:                   |              add_wait_queue() {
            bash-16796 [001] 15406.201962: funcgraph_entry:        0.134 us   |                _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201962: funcgraph_entry:        0.143 us   |                _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201963: funcgraph_exit:         0.743 us   |              }
            bash-16796 [001] 15406.201963: funcgraph_entry:                   |              copy_from_read_buf() {
            bash-16796 [001] 15406.201963: funcgraph_entry:                   |                __check_object_size() {
            bash-16796 [001] 15406.201963: funcgraph_entry:        0.203 us   |                  check_stack_object();
            bash-16796 [001] 15406.201964: funcgraph_entry:        0.213 us   |                  __virt_addr_valid();
            bash-16796 [001] 15406.201964: funcgraph_exit:         0.901 us   |                }
            bash-16796 [001] 15406.201964: funcgraph_entry:        0.222 us   |                tty_audit_add_data();
            bash-16796 [001] 15406.201965: funcgraph_exit:         1.728 us   |              }
            bash-16796 [001] 15406.201965: funcgraph_entry:        0.153 us   |              copy_from_read_buf();
            bash-16796 [001] 15406.201965: funcgraph_entry:        0.136 us   |              n_tty_kick_worker();
            bash-16796 [001] 15406.201965: funcgraph_entry:                   |              tty_wakeup() {
            bash-16796 [001] 15406.201966: funcgraph_entry:                   |                __wake_up() {
            bash-16796 [001] 15406.201966: funcgraph_entry:                   |                  __wake_up_common_lock() {
            bash-16796 [001] 15406.201966: funcgraph_entry:        0.143 us   |                    _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201966: funcgraph_entry:                   |                    __wake_up_common() {
            bash-16796 [001] 15406.201966: funcgraph_entry:                   |                      ep_poll_callback() {
            bash-16796 [001] 15406.201967: funcgraph_entry:        0.223 us   |                        _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201967: funcgraph_entry:        0.145 us   |                        _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201967: funcgraph_exit:         0.867 us   |                      }
            bash-16796 [001] 15406.201967: funcgraph_exit:         1.258 us   |                    }
            bash-16796 [001] 15406.201968: funcgraph_entry:        0.146 us   |                    _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201968: funcgraph_exit:         2.114 us   |                  }
            bash-16796 [001] 15406.201968: funcgraph_exit:         2.383 us   |                }
            bash-16796 [001] 15406.201968: funcgraph_exit:         2.660 us   |              }
            bash-16796 [001] 15406.201968: funcgraph_entry:        0.135 us   |              n_tty_kick_worker();
            bash-16796 [001] 15406.201969: funcgraph_entry:        0.137 us   |              up_read();
            bash-16796 [001] 15406.201970: funcgraph_entry:                   |              remove_wait_queue() {
            bash-16796 [001] 15406.201970: funcgraph_entry:        0.136 us   |                _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201970: funcgraph_entry:        0.143 us   |                _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201970: funcgraph_exit:         0.683 us   |              }
            bash-16796 [001] 15406.201970: funcgraph_entry:        0.137 us   |              mutex_unlock();
            bash-16796 [001] 15406.201971: funcgraph_exit:       + 12.210 us  |            }
            bash-16796 [001] 15406.201971: funcgraph_entry:                   |            tty_ldisc_deref() {
            bash-16796 [001] 15406.201971: funcgraph_entry:        0.138 us   |              ldsem_up_read();
            bash-16796 [001] 15406.201971: funcgraph_exit:         0.400 us   |            }
            bash-16796 [001] 15406.201971: funcgraph_entry:        0.190 us   |            ktime_get_real_seconds();
